model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
GLD_arima,train,2.3421,9.7294,3.1192,0.0085,0.988,0.988,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
GLD_arima,test,2.114,7.0192,2.6494,0.0065,0.9703,0.9728,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_linreg,train,0.2553,0.1053,0.3244,0.0027,0.9635,0.9635,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_linreg,test,0.2033,0.0723,0.2689,0.0021,0.8253,0.8254,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_linreg,train,0.2581,0.1083,0.329,0.0027,0.9625,0.9625,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_linreg,test,0.1967,0.0676,0.26,0.002,0.8366,0.8407,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_rf,train,0.2489,0.097,0.3115,0.0026,0.9664,0.9664,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_rf,test,0.2079,0.0671,0.2591,0.0022,0.8377,0.8554,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_rf,train,0.2577,0.1016,0.3187,0.0027,0.9648,0.9648,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_rf,test,0.2051,0.0635,0.252,0.0021,0.8465,0.8578,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,1
IEF_xgb,train,0.1102,0.0197,0.1403,0.0012,0.9932,0.9932,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
IEF_xgb,test,0.2056,0.0667,0.2583,0.0021,0.8387,0.8662,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-29,2024-08-13 a 2025-08-01,2025-08-04 a 2025-09-29,2025-09-29,0
