model,feature,importance,run_date
EEM_rf,sin_year,0.13373256068890585,2025-07-11T06:01:44.550678+00:00
EEM_rf,norm_band_50,0.05914549974829249,2025-07-11T06:01:44.550678+00:00
EEM_rf,std_ratio_5_20,0.04758164441889964,2025-07-11T06:01:44.550678+00:00
EEM_rf,max_5,0.051990460329070336,2025-07-11T06:01:44.550678+00:00
EEM_rf,dom,0.040149593989745824,2025-07-11T06:01:44.550678+00:00
EEM_rf,volatility_5,0.021344497551309304,2025-07-11T06:01:44.550678+00:00
EEM_rf,skew_5,0.08874851188139225,2025-07-11T06:01:44.550678+00:00
EEM_rf,macd_diff,0.08065070326743873,2025-07-11T06:01:44.550678+00:00
EEM_rf,skew_20,0.01968817444197624,2025-07-11T06:01:44.550678+00:00
EEM_xgb,kurt_20,0.05151032283902168,2025-07-11T06:01:44.550678+00:00
EEM_xgb,kurt_10,0.05082631856203079,2025-07-11T06:01:44.550678+00:00
EEM_xgb,kurt_5,0.07647205889225006,2025-07-11T06:01:44.550678+00:00
EEM_xgb,median_20,0.06538775563240051,2025-07-11T06:01:44.550678+00:00
EEM_xgb,std_10,0.08046188950538635,2025-07-11T06:01:44.550678+00:00
EEM_xgb,Low,0.062417950481176376,2025-07-11T06:01:44.550678+00:00
EEM_xgb,sin_month,0.050152841955423355,2025-07-11T06:01:44.550678+00:00
EEM_xgb,std_50,0.05473330244421959,2025-07-11T06:01:44.550678+00:00
EEM_xgb,sin_year,0.06909602135419846,2025-07-11T06:01:44.550678+00:00
EEM_xgb,norm_band_50,0.05675068497657776,2025-07-11T06:01:44.550678+00:00
EEM_xgb,std_ratio_5_20,0.05161960422992706,2025-07-11T06:01:44.550678+00:00
EEM_xgb,max_5,0.050203826278448105,2025-07-11T06:01:44.550678+00:00
EEM_xgb,dom,0.07027863711118698,2025-07-11T06:01:44.550678+00:00
EEM_xgb,volatility_5,0.047517288476228714,2025-07-11T06:01:44.550678+00:00
EEM_xgb,skew_5,0.04037904366850853,2025-07-11T06:01:44.550678+00:00
EEM_xgb,macd_diff,0.06673985719680786,2025-07-11T06:01:44.550678+00:00
EEM_xgb,skew_20,0.05545257031917572,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,kurt_20,11.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,kurt_10,12.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,kurt_5,71.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,median_20,37.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,std_10,26.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,Low,10.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,sin_month,4.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,std_50,20.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,sin_year,1.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,norm_band_50,4.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,std_ratio_5_20,1.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,max_5,7.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,dom,8.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,volatility_5,11.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,skew_5,3.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,macd_diff,10.0,2025-07-11T06:01:44.550678+00:00
EEM_lgbm,skew_20,3.0,2025-07-11T06:01:44.550678+00:00
EEM_arima,const,0.012661113016814239,2025-07-11T06:01:44.550678+00:00
EEM_arima,ar.L1,-0.005120737196640911,2025-07-11T06:01:44.550678+00:00
EEM_arima,sigma2,0.28047822512402254,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,close_lag_14,-0.0792340698829727,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,norm_band_50,-0.006395899805106839,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,obv,-6.532608116221863e-09,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,Volume,-1.9271550991878146e-08,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,ema_5,-0.05447325683561596,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,volatility_5,-0.08763688909100091,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,stl_resid_90,-0.27675669078729714,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,skew_10,-0.024288583903062058,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,stl_resid_30,0.026251919315940328,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,cos_quarter,-0.02820320265822105,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,stoch_signal,-0.02417828597873375,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,skew_5,-0.38261850134233055,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,sin_year,0.8344133759163797,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,sin_month,0.41699931477157226,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,kurt_20,0.2840576500671833,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_linreg,std_5,0.16365917175001568,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,close_lag_14,0.09630047413547642,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,norm_band_50,0.07200282143917616,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,obv,0.11780030120848269,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,Volume,0.0366412441749441,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,ema_5,0.06457974226751442,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,volatility_5,0.07617247111292486,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,stl_resid_90,0.04684296754449382,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,skew_10,0.03496047587776275,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,stl_resid_30,0.01761633415498129,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,cos_quarter,0.07494962317429882,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,stoch_signal,0.0782844359357977,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,skew_5,0.054078687988922736,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,sin_year,0.09743695727986966,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,sin_month,0.051943659720175867,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,kurt_20,0.030684480259527684,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_rf,std_5,0.04970532372565104,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_xgb,close_lag_14,0.06426253169775009,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_xgb,norm_band_50,0.05789419263601303,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_xgb,obv,0.07929312437772751,2025-07-11T06:01:44.550678+00:00
GFNORTEO.MX_xgb,Volume,0.07610607147216797,2025-07-11T06:01:44.550678+00:00
