ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS,residual
MRK,_NaiveModel,117.0999984741211,112.55999755859376,2026-04-21 00:00:00,0.0,-4.5400009155273295,0.0,-0.0387702901339547,False,2026-04-21,False,False,4.54,20.6116,4.54,0.0403,,1.0,4.5400009155273295
MSFT,_NaiveModel,418.0700073242188,424.1600036621094,2026-04-21 00:00:00,0.0,6.089996337890568,0.0,0.0145669295362001,False,2026-04-21,False,False,6.09,37.0881,6.09,0.0144,,1.0,-6.089996337890568
NEE,_NaiveModel,92.01000213623048,90.5999984741211,2026-04-21 00:00:00,0.0,-1.4100036621093892,0.0,-0.0153244607039757,False,2026-04-21,False,False,1.41,1.9881,1.41,0.0156,,1.0,1.4100036621093892
NVDA,_NaiveModel,202.0599975585937,199.8800048828125,2026-04-21 00:00:00,-2.8421709430404014e-14,-2.1799926757812216,-1.4065975340894592e-16,-0.0107888384743202,True,2026-04-21,False,False,2.18,4.7524,2.18,0.0109,,1.0,2.179992675781193
ORCL,_NaiveModel,177.5800018310547,181.1699981689453,2026-04-21 00:00:00,0.0,3.589996337890625,0.0,0.0202162197368713,False,2026-04-21,False,False,3.59,12.8881,3.59,0.0198,,1.0,-3.589996337890625
PG,_NaiveModel,144.49000549316406,142.32000732421875,2026-04-21 00:00:00,0.0,-2.1699981689453125,0.0,-0.0150183271260791,False,2026-04-21,False,False,2.17,4.7089,2.17,0.0152,,1.0,2.1699981689453125
PLTR,_NaiveModel,145.88999938964844,145.97000122070312,2026-04-21 00:00:00,0.0,0.0800018310546875,0.0,0.0005483709054039,False,2026-04-21,False,False,0.08,0.0064,0.08,0.0005,,1.0,-0.0800018310546875
TSLA,_NaiveModel,392.5,386.4200134277344,2026-04-21 00:00:00,0.0,-6.079986572265625,0.0,-0.0154904116490843,False,2026-04-21,False,False,6.08,36.9662,6.08,0.0157,,1.0,6.079986572265625
TSM,_NaiveModel,366.239990234375,368.0799865722656,2026-04-21 00:00:00,0.0,1.839996337890625,0.0,0.0050240180945644,False,2026-04-21,False,False,1.84,3.3856,1.84,0.005,,1.0,-1.839996337890625
UNH,_NaiveModel,323.4800109863281,346.010009765625,2026-04-21 00:00:00,0.0,22.529998779296875,0.0,0.0696488129532341,False,2026-04-21,False,False,22.53,507.6008,22.53,0.0651,,1.0,-22.529998779296875
V,_NaiveModel,313.94000244140625,309.94000244140625,2026-04-21 00:00:00,0.0,-4.0,0.0,-0.0127412880451466,False,2026-04-21,False,False,4.0,16.0,4.0,0.0129,,1.0,4.0
WMT,_NaiveModel,127.91999816894533,129.60000610351562,2026-04-21 00:00:00,0.0,1.6800079345702983,0.0,0.0131332704707476,False,2026-04-21,False,False,1.68,2.8224,1.68,0.013,,1.0,-1.6800079345702983
XOM,_NaiveModel,147.67999267578125,148.36000061035156,2026-04-21 00:00:00,0.0,0.6800079345703125,0.0,0.004604604335695,False,2026-04-21,False,False,0.68,0.4624,0.68,0.0046,,1.0,-0.6800079345703125
AAPL,_NaiveModel,270.2300109863281,273.04998779296875,2026-04-20 00:00:00,0.0,2.819976806640625,0.0,0.0104354686452027,False,2026-04-20,False,False,2.82,7.9523,2.82,0.0103,,1.0,-2.819976806640625
AMD,_NaiveModel,278.3900146484375,274.95001220703125,2026-04-20 00:00:00,0.0,-3.44000244140625,0.0,-0.012356773807963,False,2026-04-20,False,False,3.44,11.8336,3.44,0.0125,,1.0,3.44000244140625
AMZN,_NaiveModel,250.5599975585937,248.27999877929688,2026-04-20 00:00:00,-2.8421709430404014e-14,-2.2799987792968466,-1.1343274947054373e-16,-0.0090996120750027,True,2026-04-20,False,False,2.28,5.1984,2.28,0.0092,,1.0,2.279998779296818
ASML,_NaiveModel,1459.800048828125,1476.5,2026-04-20 00:00:00,0.0,16.699951171875,0.0,0.0114398894460108,False,2026-04-20,False,False,16.7,278.8884,16.7,0.0113,,1.0,-16.699951171875
AVGO,_NaiveModel,406.5400085449219,399.6300048828125,2026-04-20 00:00:00,0.0,-6.910003662109375,0.0,-0.0169971061073213,False,2026-04-20,False,False,6.91,47.7482,6.91,0.0173,,1.0,6.910003662109375
BRK-B,_NaiveModel,474.5799865722656,472.0799865722656,2026-04-20 00:00:00,0.0,-2.5,0.0,-0.0052678159019234,False,2026-04-20,False,False,2.5,6.25,2.5,0.0053,,1.0,2.5
CAT,_NaiveModel,794.6500244140625,798.4000244140625,2026-04-20 00:00:00,0.0,3.75,0.0,0.0047190585601064,False,2026-04-20,False,False,3.75,14.0625,3.75,0.0047,,1.0,-3.75
COST,_NaiveModel,999.8900146484376,997.8400268554688,2026-04-20 00:00:00,0.0,-2.049987792968864,0.0,-0.0020502132863979,False,2026-04-20,False,False,2.05,4.2024,2.05,0.0021,,1.0,2.0499877929688637
CRM,_NaiveModel,182.13999938964844,186.2700042724609,2026-04-20 00:00:00,0.0,4.130004882812472,0.0,0.0226748923720881,False,2026-04-20,False,False,4.13,17.0569,4.13,0.0222,,1.0,-4.130004882812472
GOOGL,_NaiveModel,341.67999267578125,337.4200134277344,2026-04-20 00:00:00,0.0,-4.259979248046875,0.0,-0.0124677456665984,False,2026-04-20,False,False,4.26,18.1474,4.26,0.0126,,1.0,4.259979248046875
JNJ,_NaiveModel,234.17999267578125,230.69000244140625,2026-04-20 00:00:00,0.0,-3.489990234375,0.0,-0.0149030247823384,False,2026-04-20,False,False,3.49,12.18,3.49,0.0151,,1.0,3.489990234375
JPM,_NaiveModel,310.2900085449219,316.989990234375,2026-04-20 00:00:00,0.0,6.699981689453125,0.0,0.0215926439941527,False,2026-04-20,False,False,6.7,44.8898,6.7,0.0211,,1.0,-6.699981689453125
LLY,_NaiveModel,927.030029296875,919.9000244140624,2026-04-20 00:00:00,0.0,-7.130004882812614,0.0,-0.0076912340026574,False,2026-04-20,False,False,7.13,50.837,7.13,0.0078,,1.0,7.130004882812614
LMT,_NaiveModel,592.1900024414062,581.280029296875,2026-04-20 00:00:00,0.0,-10.90997314453125,0.0,-0.0184230957962022,False,2026-04-20,False,False,10.91,119.0275,10.91,0.0188,,1.0,10.90997314453125
MA,_NaiveModel,521.2999877929688,516.6500244140625,2026-04-20 00:00:00,0.0,-4.64996337890625,0.0,-0.0089199376324423,False,2026-04-20,False,False,4.65,21.6222,4.65,0.009,,1.0,4.64996337890625
MCD,_NaiveModel,311.3599853515625,306.94000244140625,2026-04-20 00:00:00,0.0,-4.41998291015625,0.0,-0.0141957320082911,False,2026-04-20,False,False,4.42,19.5362,4.42,0.0144,,1.0,4.41998291015625
META,_NaiveModel,688.5499877929688,670.9099731445312,2026-04-20 00:00:00,0.0,-17.6400146484375,0.0,-0.0256190762634091,False,2026-04-20,False,False,17.64,311.1701,17.64,0.0263,,1.0,17.6400146484375
MRK,_NaiveModel,119.06999969482422,117.0999984741211,2026-04-20 00:00:00,0.0,-1.970001220703125,0.0,-0.0165448998551459,False,2026-04-20,False,False,1.97,3.8809,1.97,0.0168,,1.0,1.970001220703125
MSFT,_NaiveModel,422.7900085449219,418.0700073242188,2026-04-20 00:00:00,0.0,-4.720001220703068,0.0,-0.011163937475598,False,2026-04-20,False,False,4.72,22.2784,4.72,0.0113,,1.0,4.720001220703068
NEE,_NaiveModel,91.9800033569336,92.01000213623048,2026-04-20 00:00:00,0.0,0.0299987792968892,0.0,0.0003261445771041,False,2026-04-20,False,False,0.03,0.0009,0.03,0.0003,,1.0,-0.02999877929688921
NVDA,_NaiveModel,201.67999267578125,202.0599975585937,2026-04-20 00:00:00,0.0,0.3800048828124716,0.0,0.0018841972263622,False,2026-04-20,False,False,0.38,0.1444,0.38,0.0019,,1.0,-0.38000488281244316
ORCL,_NaiveModel,175.05999755859375,177.5800018310547,2026-04-20 00:00:00,0.0,2.520004272460937,0.0,0.0143950891557477,False,2026-04-20,False,False,2.52,6.3504,2.52,0.0142,,1.0,-2.5200042724609375
PG,_NaiveModel,146.92999267578125,144.49000549316406,2026-04-20 00:00:00,0.0,-2.4399871826171875,0.0,-0.0166064609286499,False,2026-04-20,False,False,2.44,5.9535,2.44,0.0169,,1.0,2.4399871826171875
PLTR,_NaiveModel,146.38999938964844,145.88999938964844,2026-04-20 00:00:00,0.0,-0.5,0.0,-0.0034155338621809,False,2026-04-20,False,False,0.5,0.25,0.5,0.0034,,1.0,0.5
TSLA,_NaiveModel,400.6199951171875,392.5,2026-04-20 00:00:00,0.0,-8.1199951171875,0.0,-0.0202685717541688,False,2026-04-20,False,False,8.12,65.9343,8.12,0.0207,,1.0,8.1199951171875
TSM,_NaiveModel,370.5,366.239990234375,2026-04-20 00:00:00,0.0,-4.260009765625,0.0,-0.0114980020664642,False,2026-04-20,False,False,4.26,18.1477,4.26,0.0116,,1.0,4.260009765625
UNH,_NaiveModel,324.6300048828125,323.4800109863281,2026-04-20 00:00:00,0.0,-1.149993896484375,0.0,-0.0035424756775009,False,2026-04-20,False,False,1.15,1.3225,1.15,0.0036,,1.0,1.149993896484375
V,_NaiveModel,317.0199890136719,313.94000244140625,2026-04-20 00:00:00,0.0,-3.079986572265625,0.0,-0.0097154333449074,False,2026-04-20,False,False,3.08,9.4863,3.08,0.0098,,1.0,3.079986572265625
WMT,_NaiveModel,127.5,127.91999816894533,2026-04-20 00:00:00,0.0,0.4199981689453267,0.0,0.0032941032858456,False,2026-04-20,False,False,0.42,0.1764,0.42,0.0033,,1.0,-0.4199981689453267
XOM,_NaiveModel,146.44000244140625,147.67999267578125,2026-04-20 00:00:00,0.0,1.239990234375,0.0,0.0084675649665544,False,2026-04-20,False,False,1.24,1.5376,1.24,0.0084,,1.0,-1.239990234375
AAPL,_NaiveModel,263.3999938964844,270.2300109863281,2026-04-17 00:00:00,0.0,6.83001708984375,0.0,0.025930209749845,False,2026-04-17,False,False,6.83,46.6491,6.83,0.0253,,1.0,-6.83001708984375
AMD,_NaiveModel,278.260009765625,278.3900146484375,2026-04-17 00:00:00,0.0,0.1300048828125,0.0,0.0004672064912309,False,2026-04-17,False,False,0.13,0.0169,0.13,0.0005,,1.0,-0.1300048828125
AMZN,_NaiveModel,249.6999969482422,250.5599975585937,2026-04-17 00:00:00,0.0,0.8600006103515341,0.0,0.0034441354459839,False,2026-04-17,False,False,0.86,0.7396,0.86,0.0034,,1.0,-0.8600006103515057
ASML,_NaiveModel,1410.8299560546875,1459.800048828125,2026-04-17 00:00:00,0.0,48.9700927734375,0.0,0.0347101311276235,False,2026-04-17,False,False,48.9701,2398.07,48.9701,0.0335,,1.0,-48.9700927734375
AVGO,_NaiveModel,398.4700012207031,406.5400085449219,2026-04-17 00:00:00,0.0,8.07000732421875,0.0,0.0202524840000413,False,2026-04-17,False,False,8.07,65.125,8.07,0.0199,,1.0,-8.07000732421875
BRK-B,_NaiveModel,475.1199951171875,474.5799865722656,2026-04-17 00:00:00,0.0,-0.540008544921875,0.0,-0.0011365729720313,False,2026-04-17,False,False,0.54,0.2916,0.54,0.0011,,1.0,0.540008544921875
CAT,_NaiveModel,772.6599731445312,794.6500244140625,2026-04-17 00:00:00,0.0,21.99005126953125,0.0,0.0284601921075803,False,2026-04-17,False,False,21.9901,483.5624,21.9901,0.0277,,1.0,-21.99005126953125
COST,_NaiveModel,987.2100219726562,999.8900146484376,2026-04-17 00:00:00,0.0,12.679992675781364,0.0,0.0128442706147209,False,2026-04-17,False,False,12.68,160.7822,12.68,0.0127,,1.0,-12.679992675781364
CRM,_NaiveModel,181.22000122070312,182.13999938964844,2026-04-17 00:00:00,0.0,0.9199981689453124,0.0,0.005076692212494,False,2026-04-17,False,False,0.92,0.8464,0.92,0.0051,,1.0,-0.9199981689453125
GOOGL,_NaiveModel,336.0199890136719,341.67999267578125,2026-04-17 00:00:00,0.0,5.660003662109375,0.0,0.0168442469113915,False,2026-04-17,False,False,5.66,32.0356,5.66,0.0166,,1.0,-5.660003662109375
JNJ,_NaiveModel,234.5399932861328,234.17999267578125,2026-04-17 00:00:00,0.0,-0.3600006103515625,0.0,-0.0015349220630034,False,2026-04-17,False,False,0.36,0.1296,0.36,0.0015,,1.0,0.3600006103515625
JPM,_NaiveModel,309.95001220703125,310.2900085449219,2026-04-17 00:00:00,0.0,0.339996337890625,0.0,0.0010969392627851,False,2026-04-17,False,False,0.34,0.1156,0.34,0.0011,,1.0,-0.339996337890625
LLY,_NaiveModel,903.989990234375,927.030029296875,2026-04-17 00:00:00,0.0,23.0400390625,0.0,0.0254870510861812,False,2026-04-17,False,False,23.04,530.8434,23.04,0.0249,,1.0,-23.0400390625
LMT,_NaiveModel,607.489990234375,592.1900024414062,2026-04-17 00:00:00,0.0,-15.29998779296875,0.0,-0.0251855800736171,False,2026-04-17,False,False,15.3,234.0896,15.3,0.0258,,1.0,15.29998779296875
MA,_NaiveModel,518.5399780273438,521.2999877929688,2026-04-17 00:00:00,0.0,2.760009765625,0.0,0.0053226556920929,False,2026-04-17,False,False,2.76,7.6177,2.76,0.0053,,1.0,-2.760009765625
MCD,_NaiveModel,306.9599914550781,311.3599853515625,2026-04-17 00:00:00,0.0,4.399993896484375,0.0,0.0143340957094347,False,2026-04-17,False,False,4.4,19.3599,4.4,0.0141,,1.0,-4.399993896484375
META,_NaiveModel,676.8699951171875,688.5499877929688,2026-04-17 00:00:00,0.0,11.67999267578125,0.0,0.0172558877776212,False,2026-04-17,False,False,11.68,136.4222,11.68,0.017,,1.0,-11.67999267578125
MRK,_NaiveModel,115.45999908447266,119.06999969482422,2026-04-17 00:00:00,0.0,3.6100006103515625,0.0,0.0312662449244471,False,2026-04-17,False,False,3.61,13.0321,3.61,0.0303,,1.0,-3.6100006103515625
MSFT,_NaiveModel,420.260009765625,422.7900085449219,2026-04-17 00:00:00,0.0,2.529998779296875,0.0,0.0060200797613549,False,2026-04-17,False,False,2.53,6.4009,2.53,0.006,,1.0,-2.529998779296875
NEE,_NaiveModel,91.83000183105467,91.9800033569336,2026-04-17 00:00:00,0.0,0.1500015258789204,0.0,0.0016334697036692,False,2026-04-17,False,False,0.15,0.0225,0.15,0.0016,,1.0,-0.15000152587892046
