date,ticker,best_model,strategy_score,action,ret_1d,ret_5d,ret_20d,result_5d,pred_ARIMAModel,pred_LGBMRegressor,pred_LSTM,pred_RandomForestRegressor,pred_Ridge,pred_XGBRegressor,pred__NaiveModel
2026-05-05,XOM,_NaiveModel,0.0,HOLD,0.77%,-5.93%,0.80%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,AAPL,_NaiveModel,0.0,HOLD,-1.18%,4.70%,10.24%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,AMD,_NaiveModel,0.0,HOLD,-5.27%,26.25%,29.67%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,AMZN,_NaiveModel,0.0,HOLD,1.41%,1.65%,-0.72%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,ASML,_NaiveModel,0.0,HOLD,-2.86%,11.56%,14.43%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,AVGO,_NaiveModel,0.0,HOLD,-1.13%,2.07%,-1.69%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,BRK-B,_NaiveModel,0.0,HOLD,-0.95%,0.62%,2.83%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,CAT,_NaiveModel,0.0,HOLD,-1.67%,0.87%,-1.10%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,COST,_NaiveModel,0.0,HOLD,0.11%,-0.29%,1.63%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,CRM,_NaiveModel,0.0,HOLD,0.90%,-1.09%,-2.04%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,GOOGL,_NaiveModel,0.0,HOLD,-0.63%,3.92%,-0.71%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,JNJ,_NaiveModel,0.0,HOLD,-1.32%,-2.58%,3.15%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,JPM,_NaiveModel,0.0,HOLD,-1.54%,-3.32%,-1.95%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,LLY,_NaiveModel,0.0,HOLD,0.48%,-1.54%,10.55%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,LMT,_NaiveModel,0.0,HOLD,1.05%,-1.22%,3.99%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,MA,_NaiveModel,0.0,HOLD,1.87%,0.00%,0.62%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,MCD,_NaiveModel,0.0,HOLD,-0.89%,-3.80%,-1.52%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-04,META,_NaiveModel,0.0,HOLD,0.27%,0.14%,0.25%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-04,MRK,_NaiveModel,0.0,HOLD,0.85%,-0.70%,9.14%,Acierto,-,-,-,-,-,-,NEUTRO
