ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
WMT,_NaiveModel,risk_regime,risk_on,1.209,3.0305,1.7408,0.0093,0.4534,0.717,0.6667,5,4,True
XOM,_NaiveModel,risk_regime,risk_off,1.9186,6.8656,2.6202,0.0129,-0.0722,0.5027,0.8333,5,5,False
XOM,_NaiveModel,risk_regime,risk_on,1.81,4.5717,2.1382,0.0119,0.1331,0.7543,0.6667,5,5,False
AAPL,_NaiveModel,session_bucket,after_hours,3.8353,22.341,4.7266,0.0142,0.1299,0.1837,0.8333,5,5,False
AMD,_NaiveModel,session_bucket,after_hours,12.586,263.3731,16.2288,0.0394,0.782,0.815,0.5,5,5,False
AMZN,_NaiveModel,session_bucket,after_hours,3.1267,16.8616,4.1063,0.0121,0.7158,0.7932,0.5,5,5,False
ASML,_NaiveModel,session_bucket,after_hours,31.346,1268.0518,35.6097,0.0219,0.0453,0.0888,0.8333,5,5,False
AVGO,_NaiveModel,session_bucket,after_hours,7.4273,92.219,9.6031,0.0182,0.3567,0.3986,0.8333,5,5,False
BRK-B,_NaiveModel,session_bucket,after_hours,2.7807,9.9465,3.1538,0.0059,0.1584,0.2096,0.8333,4,4,False
CAT,_NaiveModel,session_bucket,after_hours,14.15,579.7471,24.0779,0.0169,0.5713,0.5939,0.8333,5,5,False
COST,_NaiveModel,session_bucket,after_hours,6.5853,64.6931,8.0432,0.0066,0.5054,0.5401,0.8333,5,5,False
CRM,_NaiveModel,session_bucket,after_hours,3.884,30.6633,5.5374,0.0217,-0.2584,-0.2291,0.8333,5,5,False
GOOGL,_NaiveModel,session_bucket,after_hours,5.9853,104.5031,10.2227,0.0168,0.6897,0.7403,0.6667,5,5,False
JNJ,_NaiveModel,session_bucket,after_hours,2.4693,8.0179,2.8316,0.0107,0.6328,0.6714,0.8333,5,5,False
JPM,_NaiveModel,session_bucket,after_hours,2.8567,11.9812,3.4614,0.0092,-0.7773,-0.7533,0.8333,5,5,False
LLY,_NaiveModel,session_bucket,after_hours,19.3013,754.127,27.4614,0.0211,0.2361,0.2427,0.8333,5,5,False
LMT,_NaiveModel,session_bucket,after_hours,8.5747,123.0913,11.0947,0.0156,0.9219,0.951,0.5,5,5,False
MA,_NaiveModel,session_bucket,after_hours,6.4253,76.5235,8.7478,0.0126,-0.1704,-0.1694,0.8333,5,5,False
MCD,_NaiveModel,session_bucket,after_hours,3.5327,17.0947,4.1346,0.0119,0.7357,0.7643,0.5,5,5,False
META,_NaiveModel,session_bucket,after_hours,12.412,348.6642,18.6726,0.0191,0.4683,0.4723,0.8333,5,5,False
MRK,_NaiveModel,session_bucket,after_hours,1.872,4.9899,2.2338,0.0164,0.5391,0.5595,0.8333,5,4,True
MSFT,_NaiveModel,session_bucket,after_hours,7.8407,91.1955,9.5496,0.0189,-0.0129,0.0294,0.8333,5,5,False
NEE,_NaiveModel,session_bucket,after_hours,1.4407,4.5941,2.1434,0.0151,0.2671,0.2744,0.8333,5,4,True
NVDA,_NaiveModel,session_bucket,after_hours,3.774,23.66,4.8642,0.0185,0.3081,0.319,0.8333,5,5,False
ORCL,_NaiveModel,session_bucket,after_hours,5.5633,41.2476,6.4224,0.032,0.2006,0.253,0.8333,5,4,True
PG,_NaiveModel,session_bucket,after_hours,1.6467,4.3124,2.0766,0.0113,0.0967,0.0967,0.8333,5,4,True
PLTR,_NaiveModel,session_bucket,after_hours,3.1347,18.591,4.3117,0.0219,-0.2074,-0.1535,0.8333,5,4,True
TSLA,_NaiveModel,session_bucket,after_hours,7.594,102.9794,10.1479,0.0197,-0.1434,-0.0641,0.8333,5,5,False
TSM,_NaiveModel,session_bucket,after_hours,7.232,88.0861,9.3854,0.0188,0.5354,0.5595,0.8333,5,5,False
UNH,_NaiveModel,session_bucket,after_hours,4.314,53.9869,7.3476,0.0124,0.883,0.9151,0.5,5,4,True
V,_NaiveModel,session_bucket,after_hours,3.652,49.7094,7.0505,0.0112,0.301,0.32,0.8333,5,5,False
WMT,_NaiveModel,session_bucket,after_hours,1.228,2.7995,1.6732,0.0095,0.507,0.533,0.8333,5,4,True
XOM,_NaiveModel,session_bucket,after_hours,1.8607,5.6422,2.3753,0.0124,0.0699,0.0707,0.8333,5,5,False
